,mood,age,gender,school_type,grade_level,sibilings,living,employment,personality,relationship,wakeup,breakfast,launch,dinner,sleep,hobbies,smoker,alcoholic,drug_addicted,friends,hangout,social_events,pray,sports,exercise,meditation,video_games,study_hours,phone_hours,medication,movies_per_week,music hours,depression,category
188,Sad,25,Others,Wirtschaft,1,3,With family,None,Extrovert,Single,3:00:00 AM,9:00:00 AM,7:00:00 PM,2:00:00 PM,11:00:00 AM,Traveling,No,No,No,5,Sometimes,Sometimes,Sometimes,Not at all,Not at all,Not at all,Not at all,6,0 to 2,Yes,1,1,16,Moderate
189,Lost,21,Male,Naturwissenschaft,3,3,With family,None,Introvert,Single,9:00:00 AM,10:00:00 AM,2:00:00 PM,3:00:00 PM,2:00:00 AM,"Music, Traveling, Programming",Yes,No,No,4,Sometimes,Sometimes,Sometimes,Sometimes,Regularly,Not at all,Sometimes,4,3 to 5,No,2,3,12,Moderate
190,Happy,26,Male,Wirtschaft,8,1,With family,Part time,Extrovert,Married,11:00:00 AM,11:15:00 AM,3:00:00 PM,4:00:00 PM,2:30:00 AM,"Photography, Traveling",Yes,No,No,6,Very Often,Sometimes,Regularly,Sometimes,Regularly,Not at all,Often,1,0 to 2,No,5,1,1,None
191,Happy,24,Male,Naturwissenschaft,7,3,Without family,None,Introvert,In a relationship,9:00:00 AM,11:00:00 AM,2:00:00 PM,5:00:00 PM,1:00:00 AM,Traveling,No,No,No,3,Often,Often,Sometimes,Sometimes,Not at all,Not at all,Sometimes,4,3 to 5,No,3,2,9,Moderate
192,Happy,23,Male,Naturwissenschaft,6,1,With family,None,Introvert,Single,9:15:00 AM,10:30:00 AM,2:45:00 PM,6:00:00 PM,1:30:00 AM,Writing,No,No,No,2,Sometimes,Not at all,Regularly,Sometimes,Not at all,Not at all,Often,2,3 to 5,No,1,1,3,None
193,Sad,24,Male,Naturwissenschaft,6,0,With family,None,Ambivert,Single,10:00:00 AM,10:00:00 AM,2:00:00 PM,7:00:00 PM,3:45:00 AM,"Music, Programming",Yes,Yes,No,5,Sometimes,Not at all,Sometimes,Not at all,Not at all,Not at all,Sometimes,5,3 to 5,No,1,1,10,Moderate
194,Happy,22,Male,Naturwissenschaft,6,1,With family,None,Introvert,Single,1:30:00 AM,2:00:00 PM,4:00:00 AM,8:00:00 PM,4:30:00 AM,None,No,No,No,10,Sometimes,Often,Sometimes,Sometimes,Not at all,Not at all,Often,2,3 to 5,No,1,1,7,Moderate
195,Happy,24,Male,Naturwissenschaft,6,1,With family,Part time,Ambivert,Single,9:30:00 AM,9:50:00 AM,2:30:00 PM,9:00:00 PM,1:00:00 AM,Sketching,No,No,No,3,Sometimes,Sometimes,Sometimes,Not at all,Not at all,Not at all,Often,2,3 to 5,No,2,0,0,None
196,Happy,21,Male,Wirtschaft,3,1,With family,Part time,Ambivert,Single,8:00:00 AM,12:00:00 PM,4:00:00 AM,10:00:00 PM,1:00:00 AM,None,Yes,Yes,No,5,Very Often,Sometimes,Sometimes,Not at all,Regularly,Sometimes,Very Often,0,6 to 8,No,1,1,3,None
197,Tensed,23,Male,Naturwissenschaft,6,3,With family,None,Introvert,Single,2:00:00 PM,3:00:00 PM,7:00:00 PM,11:00:00 PM,5:00:00 AM,"Music, Photography, Traveling, Programming",Yes,No,No,3,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Not at all,Sometimes,4,more than 8,No,10,0,5,Moderate
198,Happy,21,Male,Naturwissenschaft,3,1,With family,None,Extrovert,In a relationship,1:00:00 PM,2:00:00 PM,3:00:00 PM,12:00:00 AM,3:00:00 AM,Programming,Yes,No,No,5,Very Often,Sometimes,Sometimes,Not at all,Not at all,Not at all,Often,2,3 to 5,No,1,0,13,Moderate
200,Happy,24,Male,Naturwissenschaft,5,7,With family,Part time,Introvert,Single,10:00:00 AM,10:30:00 AM,2:00:00 AM,2:00:00 AM,4:00:00 PM,None,No,No,No,5,Often,Often,Sometimes,Sometimes,Sometimes,Not at all,Not at all,1,3 to 5,No,1,4,9,Moderate
201,Tensed,19,Female,Naturwissenschaft,3,2,With family,None,Introvert,Single,7:30:00 AM,10:00:00 AM,3:00:00 PM,3:00:00 AM,12:00:00 AM,Dancing,No,No,No,1,Very Often,Very Often,Sometimes,Not at all,Sometimes,Not at all,Not at all,3,6 to 8,No,2,1,8,Moderate
202,Happy,24,Male,Naturwissenschaft,6,1,With family,None,Ambivert,Single,11:00:00 AM,12:00:00 PM,3:00:00 PM,4:00:00 AM,2:00:00 AM,"Music, Photography, Traveling",Yes,No,No,5,Very Often,Sometimes,Sometimes,Sometimes,Sometimes,Not at all,Often,1,0 to 2,No,1,2,6,Moderate
203,Happy,22,Male,Naturwissenschaft,4,1,With family,None,Introvert,Single,8:00:00 AM,9:00:00 AM,3:00:00 PM,5:00:00 AM,3:00:00 AM,"Painting, Programming, Problem solving",No,No,No,3,Often,Sometimes,Regularly,Sometimes,Sometimes,Sometimes,Sometimes,10,0 to 2,No,1,1,10,Moderate
204,Sad,25,Female,Naturwissenschaft,6,0,With family,None,Extrovert,In a relationship,9:00:00 AM,11:00:00 AM,3:00:00 PM,6:00:00 AM,2:00:00 AM,"Music, Photography, Painting",No,No,No,1,Sometimes,Sometimes,Sometimes,Regularly,Sometimes,Not at all,Sometimes,1,3 to 5,No,0,1,23,Severe
205,Sad,25,Male,Naturwissenschaft,6,0,With family,None,Ambivert,In a relationship,9:40:00 AM,9:45:00 AM,3:00:00 PM,7:00:00 AM,3:00:00 AM,"Music, Photography, Traveling, Programming",Yes,No,No,3,Very Often,Sometimes,Sometimes,Sometimes,Regularly,Sometimes,Very Often,3,3 to 5,Yes,2,1,13,Moderate
206,Tensed,21,Female,Wirtschaft,3,2,With family,Part time,Ambivert,Single,11:00:00 AM,1:00:00 PM,5:00:00 PM,8:00:00 AM,6:00:00 AM,"Traveling, Watching series",No,No,No,11,Often,Often,Sometimes,Not at all,Sometimes,Not at all,Very Often,6,3 to 5,Yes,5,1,22,Severe
207,Lost,25,Female,Naturwissenschaft,6,0,With family,None,Ambivert,Single,9:00:00 AM,9:30:00 AM,2:00:00 PM,9:00:00 AM,1:00:00 AM,"Music, Dancing, Painting, Traveling",Yes,No,No,7,Often,Sometimes,Regularly,Regularly,Regularly,Regularly,Sometimes,3,0 to 2,No,2,2,0,None
208,Sad,22,Female,Naturwissenschaft,3,2,With family,None,Ambivert,Single,7:00:00 AM,9:00:00 AM,2:00:00 PM,10:00:00 AM,1:00:00 AM,Gardening,No,No,No,3,Sometimes,Very Often,Regularly,Not at all,Not at all,Not at all,Sometimes,6,6 to 8,Yes,0,1,17,Moderate
209,Lost,21,Female,Naturwissenschaft,4,1,With family,Full time,Introvert,In a relationship,7:00:00 AM,9:45:00 AM,2:30:00 PM,11:00:00 AM,12:30:00 AM,Traveling,No,No,No,1,Not at all,Very Often,Regularly,Not at all,Not at all,Not at all,Often,1,3 to 5,No,8,4,5,Moderate
210,Sad,22,Female,Naturwissenschaft,3,0,With family,Part time,Ambivert,Single,9:40:00 AM,11:00:00 AM,1:00:00 PM,12:00:00 PM,4:00:00 AM,Gym,Yes,Yes,No,0,Sometimes,Very Often,Not at all,Sometimes,Regularly,Not at all,Not at all,2,more than 8,No,0,5,23,Severe
211,Lost,25,Male,Naturwissenschaft,6,2,With family,None,Extrovert,In a relationship,10:00:00 AM,10:30:00 PM,2:30:00 PM,1:00:00 PM,2:00:00 AM,None,No,No,No,5,Sometimes,Very Often,Not at all,Not at all,Not at all,Not at all,Very Often,1,0 to 2,No,1,2,15,Moderate
212,Happy,20,Female,Wirtschaft,3,3,With family,None,Ambivert,Single,6:10:00 AM,10:30:00 AM,1:00:00 AM,2:00:00 PM,12:00:00 AM,Dancing,No,No,No,4,Very Often,Very Often,Sometimes,Not at all,Not at all,Not at all,Sometimes,3,3 to 5,No,2,9,12,Moderate
213,Lost,23,Male,Naturwissenschaft,6,2,With family,None,Introvert,In a relationship,2:00:00 PM,4:00:00 PM,8:00:00 PM,3:00:00 PM,10:00:00 AM,None,Yes,Yes,Yes,0,Sometimes,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,0,3 to 5,Yes,0,2,19,Moderate
214,Happy,22,Female,Naturwissenschaft,5,3,With family,Full time,Extrovert,Single,12:05:00 AM,11:00:00 AM,2:00:00 PM,4:00:00 PM,12:00:00 AM,Traveling,No,No,No,3,Sometimes,Not at all,Regularly,Sometimes,Regularly,Sometimes,Not at all,10,3 to 5,No,0,1,5,Moderate
215,Tensed,21,Female,Wirtschaft,2,2,With family,None,Extrovert,Single,9:21:00 AM,3:07:00 PM,3:07:00 PM,5:00:00 PM,4:00:00 AM,"Music, Painting, Traveling",Yes,Yes,No,0,Not at all,Sometimes,Regularly,Not at all,Not at all,Not at all,Not at all,4,6 to 8,No,3,2,14,Moderate
216,Lost,22,Female,Naturwissenschaft,4,2,With family,Part time,Ambivert,Single,10:00:00 AM,3:00:00 PM,3:00:00 PM,6:00:00 PM,3:00:00 AM,"None, Cycling ",No,No,No,0,Sometimes,Sometimes,Sometimes,Sometimes,Regularly,Sometimes,Often,1,3 to 5,No,0,0,7,Moderate
217,Happy,22,Female,Wirtschaft,1,1,With family,None,Ambivert,Single,7:30:00 AM,9:30:00 AM,2:30:00 PM,7:00:00 PM,11:00:00 AM,"Music, Painting, Reading books",No,No,No,4,Sometimes,Sometimes,Not at all,Sometimes,Sometimes,Not at all,Very Often,5,6 to 8,Yes,2,2,9,Moderate
218,Happy,23,Male,Naturwissenschaft,5,1,With family,Part time,Extrovert,Single,4:30:00 AM,9:00:00 AM,2:30:00 PM,8:00:00 PM,11:15:00 AM,Programming,No,No,No,5,Often,Often,Sometimes,Sometimes,Regularly,Sometimes,Sometimes,4,0 to 2,No,2,0,1,None
219,Tensed,23,Female,Naturwissenschaft,8,2,With family,None,Introvert,Single,1:00:00 AM,1:00:00 PM,4:00:00 PM,9:00:00 PM,4:45:00 AM,Traveling,Yes,No,No,8,Often,Sometimes,Sometimes,Not at all,Sometimes,Not at all,Not at all,2,3 to 5,No,2,0,6,Moderate
220,Happy,24,Male,Wirtschaft,6,1,With family,Part time,Extrovert,In a relationship,9:00:00 AM,10:00:00 AM,2:30:00 PM,10:00:00 PM,2:00:00 AM,None,No,No,No,7,Sometimes,Sometimes,Regularly,Not at all,Not at all,Not at all,Not at all,1,3 to 5,No,0,0,6,Moderate
221,Lost,23,Male,Naturwissenschaft,6,2,With family,None,Introvert,Single,10:00:00 AM,10:30:00 AM,1:30:00 PM,11:00:00 PM,2:00:00 AM,"Music, Photography, Traveling, Watching football, playing Cricket, guitar",No,No,No,0,Sometimes,Not at all,Regularly,Not at all,Not at all,Not at all,Very Often,1,3 to 5,No,0,1,4,None
222,Tensed,26,Male,Wirtschaft,7,2,With family,Part time,Introvert,Single,12:00:00 PM,1:00:00 PM,4:00:00 PM,12:00:00 AM,2:00:00 AM,Photography,Yes,Yes,No,4,Very Often,Sometimes,Sometimes,Sometimes,Sometimes,Not at all,Often,0,more than 8,No,8,4,15,Moderate
223,Lost,24,Male,Geisteswissenschaft,5,1,Without family,None,Ambivert,Single,8:00:00 AM,8:20:00 AM,1:30:00 PM,1:00:00 AM,2:00:00 AM,Playing chess,Yes,Yes,Yes,2,Often,Sometimes,Sometimes,Sometimes,Sometimes,Not at all,Often,2,3 to 5,No,3,1,10,Moderate
225,Happy,21,Male,Wirtschaft,1,1,With family,None,Ambivert,Married,2:00:00 PM,2:30:00 PM,2:30:00 PM,3:00:00 AM,4:00:00 AM,"gym, sports",No,No,No,2,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Not at all,Often,1,3 to 5,No,2,0,12,Moderate
226,Lost,19,Female,Wirtschaft,3,2,With family,None,Ambivert,In a relationship,12:00:00 PM,12:30:00 PM,4:00:00 PM,4:00:00 AM,3:00:00 AM,"Music, Dancing, Traveling",No,No,No,4,Sometimes,Sometimes,Sometimes,Not at all,Sometimes,Not at all,Not at all,0,more than 8,No,1,3,4,None
227,Lost,22,Male,Wirtschaft,2,1,With family,None,Ambivert,Single,8:00:00 AM,8:30:00 AM,2:00:00 PM,5:00:00 AM,12:00:00 AM,"Photography, Traveling",No,No,No,8,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Not at all,Often,4,3 to 5,No,2,1,10,Moderate
228,Sad,26,Male,Naturwissenschaft,10,4,With family,None,Ambivert,Single,11:38:00 AM,1:30:00 PM,5:30:00 PM,6:00:00 AM,5:30:00 AM,Hangout ,No,No,No,2,Very Often,Sometimes,Regularly,Not at all,Not at all,Not at all,Sometimes,1,6 to 8,No,1,1,16,Moderate
229,Lost,21,Male,Wirtschaft,3,3,With family,None,Introvert,Single,9:00:00 PM,1:30:00 PM,12:00:00 AM,7:00:00 AM,2:00:00 PM,Photography,No,No,No,2,Sometimes,Sometimes,Sometimes,Not at all,Not at all,Not at all,Sometimes,1,more than 8,No,0,0,15,Moderate
230,Tensed,21,Male,Wirtschaft,3,1,With family,None,Introvert,Single,8:00:00 AM,9:00:00 AM,2:00:00 PM,8:00:00 AM,12:00:00 AM,Football,No,No,No,2,Sometimes,Sometimes,Regularly,Regularly,Sometimes,Not at all,Often,4,3 to 5,No,2,1,3,None
231,Lost,21,Male,Naturwissenschaft,3,1,With family,None,Introvert,Divorced,10:00:00 AM,10:00:00 AM,3:00:00 PM,9:00:00 AM,1:00:00 AM,"Music, Programming",No,No,No,0,Not at all,Not at all,Not at all,Not at all,Regularly,Not at all,Not at all,0,3 to 5,No,0,8,19,Moderate
232,Happy,25,Male,Naturwissenschaft,4,3,With family,None,Introvert,In a relationship,5:00:00 AM,8:00:00 AM,2:30:00 PM,10:00:00 AM,11:00:00 PM,"Music, Traveling, Programming",No,No,No,0,Often,Very Often,Regularly,Sometimes,Sometimes,Not at all,Very Often,1,0 to 2,No,1,3,15,Moderate
233,Lost,22,Male,Naturwissenschaft,4,2,With family,None,Introvert,Single,10:30:00 AM,1:00:00 PM,1:00:00 PM,11:00:00 AM,4:00:00 AM,"Programming, Gaming",No,No,No,3,Sometimes,Sometimes,Sometimes,Not at all,Not at all,Not at all,Very Often,1,6 to 8,No,1,5,17,Moderate
234,Tensed,22,Male,Naturwissenschaft,5,1,With family,None,Extrovert,In a relationship,9:00:00 AM,10:00:00 AM,3:00:00 AM,12:00:00 PM,1:00:00 AM,"Photography, Traveling, Programming",Yes,No,No,5,Often,Sometimes,Regularly,Not at all,Not at all,Not at all,Not at all,5,3 to 5,No,1,0,18,Moderate
235,Angry,22,Female,Geisteswissenschaft,3,1,Without family,None,Extrovert,Married,6:00:00 AM,8:00:00 AM,12:00:00 PM,2:00:00 PM,12:00:00 AM,"sex and only sex with different male partners, some time group sex and lesbo",Yes,Yes,No,1,Sometimes,Sometimes,Not at all,Not at all,Regularly,Not at all,Not at all,0,6 to 8,No,0,2,3,None
236,Sad,23,Male,Naturwissenschaft,7,1,With family,None,Introvert,In a relationship,11:00:00 AM,1:00:00 PM,4:00:00 PM,3:00:00 PM,3:30:00 AM,"Music, Photography, Traveling",Yes,No,No,0,Not at all,Not at all,Sometimes,Sometimes,Not at all,Not at all,Sometimes,0,more than 8,No,1,2,6,Moderate
237,Sad,22,Male,Naturwissenschaft,4,1,With family,None,Ambivert,Single,11:00:00 AM,11:30:00 AM,2:30:00 PM,4:00:00 PM,2:00:00 AM,Programming,No,No,No,1,Sometimes,Often,Regularly,Not at all,Sometimes,Not at all,Not at all,2,more than 8,No,0,5,3,None
238,Tensed,23,Male,Naturwissenschaft,5,1,With family,None,Ambivert,Single,7:30:00 AM,8:00:00 AM,2:30:00 PM,5:00:00 PM,2:00:00 AM,"Photography, Traveling",No,No,No,1,Often,Often,Regularly,Sometimes,Sometimes,Not at all,Not at all,5,3 to 5,Yes,3,1,12,Moderate
239,Happy,25,Female,Naturwissenschaft,6,0,With family,None,Ambivert,Single,8:00:00 AM,9:00:00 AM,1:00:00 PM,6:00:00 PM,12:00:00 AM,"Music, Dancing, Painting, Traveling",Yes,Yes,No,7,Sometimes,Sometimes,Regularly,Regularly,Regularly,Regularly,Sometimes,3,0 to 2,No,2,8,8,Moderate
240,Tensed,24,Male,Naturwissenschaft,6,1,Without family,None,Ambivert,In a relationship,9:00:00 AM,9:30:00 AM,2:00:00 PM,7:00:00 PM,1:00:00 AM,"Photography, Painting, Traveling",Yes,No,No,2,Sometimes,Sometimes,Sometimes,Not at all,Not at all,Not at all,Very Often,2,3 to 5,No,1,1,13,Moderate
241,Sad,21,Female,Naturwissenschaft,3,1,With family,Part time,Ambivert,In a relationship,11:00:00 AM,11:30:00 AM,2:30:00 PM,8:00:00 PM,3:00:00 PM,"Dancing, Traveling",No,No,No,4,Not at all,Not at all,Regularly,Not at all,Not at all,Not at all,Not at all,5,3 to 5,No,0,0,12,Moderate
242,Happy,21,Male,Naturwissenschaft,2,0,With family,Full time,Ambivert,Single,10:00:00 AM,10:20:00 AM,2:00:00 PM,9:00:00 PM,3:00:00 AM,"Traveling, Programming",No,No,No,4,Often,Sometimes,Sometimes,Sometimes,Sometimes,Not at all,Often,1,6 to 8,No,0,0,6,Moderate
243,Lost,30,Male,Naturwissenschaft,8,1,With family,Full time,Introvert,Divorced,11:00:00 AM,12:00:00 PM,3:00:00 PM,10:00:00 PM,2:00:00 AM,None,Yes,Yes,No,0,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Not at all,Not at all,0,0 to 2,No,1,4,0,None
244,Tensed,31,Male,Naturwissenschaft,6,2,With family,Full time,Ambivert,Married,10:00:00 AM,10:30:00 AM,3:00:00 AM,11:00:00 PM,2:00:00 AM,Traveling,Yes,No,No,4,Often,Not at all,Regularly,Not at all,Sometimes,Not at all,Not at all,1,3 to 5,Yes,0,0,7,Moderate
245,Happy,21,Male,Naturwissenschaft,3,2,With family,None,Ambivert,Single,10:00:00 AM,11:00:00 AM,3:00:00 PM,12:00:00 AM,2:00:00 AM,Programming,No,No,No,2,Sometimes,Sometimes,Regularly,Regularly,Regularly,Sometimes,Sometimes,0,6 to 8,No,1,1,9,Moderate
246,Lost,21,Female,Naturwissenschaft,3,3,With family,None,Ambivert,In a relationship,10:00:00 AM,10:15:00 AM,2:30:00 PM,1:00:00 AM,1:00:00 PM,"Music, Painting",No,No,No,5,Sometimes,Very Often,Sometimes,Not at all,Sometimes,Not at all,Not at all,4,6 to 8,No,3,1,12,Moderate
247,Happy,21,Male,Naturwissenschaft,3,1,With family,None,Extrovert,In a relationship,9:00:00 AM,11:00:00 AM,3:00:00 PM,2:00:00 AM,2:00:00 AM,"Music, Photography, Traveling",No,No,No,5,Often,Very Often,Sometimes,Not at all,Sometimes,Not at all,Sometimes,5,3 to 5,No,1,1,8,Moderate
248,Tensed,20,Male,Naturwissenschaft,3,6,With family,None,Introvert,In a relationship,10:30:00 AM,11:00:00 AM,2:30:00 PM,3:00:00 AM,4:12:00 AM,"Traveling, Programming",No,No,No,0,Not at all,Sometimes,Regularly,Sometimes,Not at all,Not at all,Often,2,0 to 2,Yes,0,1,19,Moderate
249,Happy,20,Male,Naturwissenschaft,3,2,With family,None,Introvert,In a relationship,1:00:00 PM,2:00:00 PM,4:00:00 PM,4:00:00 AM,4:00:00 AM,"Music, Photography, Traveling, Programming",Yes,Yes,No,3,Very Often,Often,Sometimes,Sometimes,Sometimes,Sometimes,Very Often,5,6 to 8,No,2,3,9,Moderate
250,Sad,21,Male,Naturwissenschaft,3,3,With family,None,Ambivert,Single,12:00:00 PM,12:30:00 PM,3:30:00 PM,5:00:00 AM,5:00:00 AM,"Traveling, Programming, Reading novels",No,No,No,5,Sometimes,Often,Sometimes,Not at all,Not at all,Not at all,Sometimes,6,3 to 5,No,2,1,5,Moderate
251,Tensed,20,Female,Naturwissenschaft,3,2,With family,None,Ambivert,Single,9:00:00 AM,10:00:00 AM,3:00:00 PM,6:00:00 AM,12:00:00 PM,Music,No,No,No,3,Often,Sometimes,Sometimes,Not at all,Not at all,Not at all,Not at all,1,3 to 5,No,0,1,7,Moderate
252,Happy,23,Male,Naturwissenschaft,5,2,With family,Part time,Ambivert,In a relationship,10:30:00 AM,11:25:00 AM,3:00:00 AM,7:00:00 AM,1:30:00 AM,"Music, Photography, Traveling, Gaming",No,No,No,5,Sometimes,Often,Regularly,Not at all,Sometimes,Not at all,Very Often,2,3 to 5,No,3,4,4,None
253,Sad,21,Male,Naturwissenschaft,3,1,With family,None,Extrovert,Single,7:30:00 AM,10:00:00 AM,1:45:00 PM,8:00:00 AM,3:45:00 AM,"Music, Programming",Yes,No,No,1,Sometimes,Not at all,Regularly,Sometimes,Not at all,Not at all,Often,6,3 to 5,No,7,3,22,Severe
254,Happy,23,Male,Naturwissenschaft,5,1,With family,None,Introvert,Single,9:00:00 AM,10:30:00 AM,2:30:00 PM,9:00:00 AM,2:00:00 AM,"Music, Photography, Traveling, Programming",No,No,No,15,Sometimes,Sometimes,Regularly,Sometimes,Sometimes,Not at all,Sometimes,4,3 to 5,No,2,4,0,None
255,Happy,24,Male,Naturwissenschaft,6,0,With family,None,Introvert,Single,1:00:00 PM,1:30:00 PM,5:00:00 PM,10:00:00 AM,4:00:00 AM,"Music, Programming",No,No,No,2,Sometimes,Not at all,Not at all,Sometimes,Not at all,Not at all,Often,5,0 to 2,No,2,2,11,Moderate
256,Happy,22,Female,Naturwissenschaft,4,2,With family,Part time,Introvert,Single,4:30:00 AM,7:30:00 AM,2:00:00 AM,11:00:00 AM,12:00:00 PM,Writing,No,No,No,2,Sometimes,Sometimes,Regularly,Regularly,Regularly,Sometimes,Not at all,5,3 to 5,Yes,0,0,1,None
257,Sad,20,Female,Naturwissenschaft,3,1,With family,None,Introvert,Single,12:00:00 PM,1:00:00 PM,4:00:00 PM,12:00:00 PM,5:00:00 AM,"Music, Traveling, Watching movies,Cooking.",No,No,No,4,Sometimes,Sometimes,Sometimes,Not at all,Not at all,Not at all,Not at all,8,3 to 5,No,4,5,10,Moderate
258,Happy,22,Female,Naturwissenschaft,5,1,With family,None,Introvert,In a relationship,10:00:00 AM,11:30:00 AM,2:30:00 PM,1:00:00 PM,2:00:00 AM,Traveling,No,No,No,5,Often,Sometimes,Regularly,Sometimes,Sometimes,Not at all,Very Often,4,3 to 5,No,3,2,3,None
259,Lost,21,Male,Naturwissenschaft,3,1,With family,None,Ambivert,In a relationship,8:00:00 AM,9:00:00 AM,3:00:00 AM,2:00:00 PM,3:00:00 AM,"Photography, Traveling, Programming",No,No,No,6,Very Often,Very Often,Sometimes,Not at all,Not at all,Not at all,Sometimes,10,3 to 5,No,1,2,9,Moderate
260,Happy,26,Male,Naturwissenschaft,7,3,With family,None,Introvert,In a relationship,9:00:00 AM,1:00:00 PM,1:00:00 PM,3:00:00 PM,1:00:00 AM,"Music, Traveling, Programming",Yes,Yes,No,10,Often,Sometimes,Sometimes,Regularly,Regularly,Not at all,Sometimes,1,3 to 5,No,0,3,7,Moderate
261,Happy,23,Male,Naturwissenschaft,6,1,With family,None,Introvert,Single,7:00:00 AM,8:00:00 AM,2:00:00 PM,4:00:00 PM,1:00:00 AM,"Photography, Painting, Traveling",No,No,No,2,Often,Very Often,Not at all,Not at all,Not at all,Not at all,Often,1,3 to 5,No,5,3,5,Moderate
262,Happy,18,Male,Naturwissenschaft,1,3,With family,None,Ambivert,Single,10:00:00 AM,11:00:00 AM,3:30:00 PM,5:00:00 PM,3:00:00 AM,"Music, Painting",Yes,No,No,5,Very Often,Sometimes,Not at all,Not at all,Not at all,Not at all,Sometimes,2,6 to 8,No,10,4,16,Moderate
263,Tensed,24,Male,Geisteswissenschaft,6,3,With family,None,Extrovert,In a relationship,10:30:00 AM,12:00:00 AM,2:00:00 PM,6:00:00 PM,3:00:00 AM,"Traveling, Writing ",Yes,Yes,No,3,Sometimes,Sometimes,Sometimes,Sometimes,Not at all,Not at all,Often,0,more than 8,No,0,1,15,Moderate
264,Happy,25,Male,Wirtschaft,4,2,With family,Part time,Introvert,Single,9:30:00 AM,10:00:00 AM,3:00:00 AM,7:00:00 PM,1:00:00 AM,None,Yes,No,No,3,Sometimes,Sometimes,Sometimes,Not at all,Regularly,Sometimes,Very Often,0,0 to 2,No,1,4,3,None
265,Tensed,24,Male,Naturwissenschaft,7,2,With family,Part time,Ambivert,Single,3:00:00 PM,4:00:00 PM,8:00:00 PM,8:00:00 PM,5:00:00 AM,Photography,Yes,No,No,3,Sometimes,Sometimes,Sometimes,Not at all,Not at all,Not at all,Very Often,6,6 to 8,Yes,10,4,25,Severe
266,Sad,23,Female,Naturwissenschaft,5,0,With family,None,Introvert,Single,11:50:00 AM,1:10:00 AM,3:30:00 AM,9:00:00 PM,2:30:00 AM,Traveling,No,No,No,2,Very Often,Often,Regularly,Not at all,Sometimes,Not at all,Sometimes,2,3 to 5,No,0,1,11,Moderate
267,Lost,23,Female,Naturwissenschaft,5,1,With family,None,Ambivert,Single,9:00:00 AM,10:00:00 AM,2:00:00 PM,10:00:00 PM,1:00:00 AM,Programming,No,No,No,1,Sometimes,Sometimes,Sometimes,Not at all,Sometimes,Not at all,Sometimes,4,0 to 2,No,0,0,21,Severe
268,Happy,23,Male,Naturwissenschaft,6,1,With family,None,Ambivert,Single,11:00:00 AM,11:30:00 AM,3:30:00 PM,11:00:00 PM,3:00:00 AM,"Traveling, Programming, Reading",No,No,No,5,Sometimes,Sometimes,Regularly,Not at all,Not at all,Not at all,Sometimes,1,3 to 5,No,3,0,0,None
269,Happy,21,Male,Naturwissenschaft,2,0,With family,Full time,Ambivert,Single,10:00:00 AM,10:20:00 AM,2:00:00 PM,12:00:00 AM,3:00:00 AM,"Traveling, Programming",No,No,No,4,Often,Sometimes,Sometimes,Sometimes,Sometimes,Not at all,Often,1,6 to 8,No,0,0,6,Moderate
270,Sad,23,Male,Naturwissenschaft,5,3,With family,None,Introvert,Single,10:00:00 AM,10:30:00 AM,2:30:00 AM,1:00:00 AM,12:01:00 AM,"Photography, Traveling, Programming",No,No,No,6,Sometimes,Not at all,Sometimes,Sometimes,Not at all,Not at all,Often,5,3 to 5,No,3,2,13,Moderate
271,Happy,21,Male,Naturwissenschaft,3,1,With family,None,Introvert,Single,8:00:00 AM,8:30:00 AM,2:10:00 PM,2:00:00 AM,12:30:00 AM,Programming,No,No,No,1,Not at all,Not at all,Regularly,Not at all,Not at all,Not at all,Not at all,7,0 to 2,No,0,7,4,None
272,Happy,24,Male,Naturwissenschaft,6,1,With family,None,Introvert,Single,7:00:00 AM,8:30:00 AM,3:00:00 PM,3:00:00 AM,12:00:00 AM,"Music, Programming",Yes,No,No,3,Often,Not at all,Regularly,Not at all,Sometimes,Sometimes,Very Often,3,0 to 2,No,3,1,4,None
274,Sad,21,Female,Naturwissenschaft,6,3,With family,None,Introvert,Single,9:00:00 AM,10:00:00 AM,2:00:00 PM,5:00:00 AM,12:00:00 AM,"Music, Traveling",No,No,No,1,Not at all,Not at all,Sometimes,Not at all,Sometimes,Not at all,Not at all,4,more than 8,No,5,1,20,Severe
278,Sad,25,Female,Wirtschaft,1,2,With family,None,Extrovert,Divorced,8:30:00 AM,9:00:00 AM,2:00:00 AM,9:00:00 AM,11:00:00 AM,"Music, Dancing, Traveling, Programming",No,No,No,1,Not at all,Not at all,Not at all,Not at all,Not at all,Sometimes,Not at all,0,more than 8,No,0,7,6,Moderate
279,Tensed,19,Male,Naturwissenschaft,7,3,With family,None,Ambivert,Single,8:00:00 AM,10:30:00 AM,3:30:00 PM,10:00:00 AM,12:45:00 AM,Programming,No,No,No,5,Often,Sometimes,Regularly,Sometimes,Sometimes,Not at all,Very Often,1,3 to 5,No,1,0,12,Moderate
